Agent: A0979 - ATLAS FREIGHT SERVICES LLC,,Line: ,,,,,,,,,,,,,,,,,,,,,,,
Trade Type,Tariff Category,Tariff Description (Standardized),Tariff Description (Non-standarized/Misc),Tariff Code,UOM,Contr Size,Cargo Type,"Slabs 
Single/Multiple",Currency,Rate,VAT Applicable,VAT %age,Valid From,Valid To,Remarks,,,,,,,,,,
Export,BOL - B/L amendment fee,Bill of Lading amendment charge,actual as per shipping line,E2,Per Document,20 & 40,Dry - General/FAK,SINGLE,USD,140,Exempted,0%,1-Jun-23,,"At actuals from shipping line, minimum USD 140",,,,,,,,,,
Export,BOL - B/L fee,Bill of Lading issuance charge,Export BL fee,E3,Per Document,20 & 40,Dry - General/FAK,SINGLE,AED,575.00,Exempted,0%,1-Jun-23,,At actuals from shipping line ,,,,,,,,,,
Export,BOL - Switch B/L fee,Switch Bill of Lading charge,,E5,Per Document,20 & 40,Dry - General/FAK,SINGLE,AED,550,Exempted,0%,1-Jun-23,,At actuals from shipping line ,,,,,,,,,,
Export,CUSTOMS - Customs clearance/ brokerage fees,Customs clearance/ brokerage fees,UFS Clerance charges,E6,Per Document,20 & 40,Dry - General/FAK,SINGLE,AED,250,Exempted,0%,1-Jun-23,,up to 5 cntrs,,,,,,,,,,
Export,CUSTOMS - Customs inspection fees,Customs inspection fees (Import & Export),Export inspection charges,E7,Per Document,20 & 40,Dry - General/FAK,SINGLE,AED,170.00,Exempted,0%,1-Jun-23,,,,,,,,,,,,
Import,BOL - B/L amendment fee,Bill of Lading amendment charge,actual as per shipping line,I2,Per Document,20 & 40,Dry - General/FAK,SINGLE,USD,140,Exempted,0%,1-Jun-23,,"At actuals from shipping line, minimum USD 140",,,,,,,,,,
Import,BOL - B/L fee,Bill of Lading issuance charge,Import BL fee,I3,Per Document,20 & 40,Dry - General/FAK,SINGLE,AED,575,Exempted,0%,1-Jun-23,,At actuals from shipping line ,,,,,,,,,,
Import,CUSTOMS - Customs clearance/ brokerage fees,Customs clearance/ brokerage fees,UFS Clerance charges,I6,Per Document,20 & 40,Dry - General/FAK,SINGLE,AED,250,Exempted,0%,1-Jun-23,,up to 5 cntrs,,,,,,,,,,
Import,CUSTOMS - Customs inspection fees,Customs inspection fees (Import & Export),import inspection charges,I8,Per Document,20 & 40,Dry - General/FAK,SINGLE,AED,170.00,Exempted,0%,1-Jun-23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
